names,scores,logfoldchanges,pvals,pvals_adj,log2fc,significant
HSP90B1,51.885372,0.9135908,0.0,0.0,1.3180329,True
SEC61B,44.227604,0.9431618,0.0,0.0,1.3606948,True
HSPA5,40.11475,0.92608684,0.0,0.0,1.3360609,True
SEC61G,35.75337,0.6568756,5.864808468380326e-280,2.0473767086521986e-277,0.9476712,True
PDIA3,35.418217,0.7035668,8.954088911608168e-275,3.0296504220461296e-272,1.0150323,True
DAD1,28.297876,0.64042795,3.670311431347868e-176,6.406441215050291e-174,0.9239422,True
CANX,16.39723,0.3551111,2.001580115475008e-60,7.300290460968797e-59,0.51231694,True
CALR,13.8091135,0.29114872,2.2457880129636013e-43,5.5558622912383e-42,0.42003873,False
XBP1,12.346337,0.5091107,5.097980307811854e-35,1.0151188855564155e-33,0.7344914,True
PDIA6,9.892404,0.30563083,4.4911463213914494e-23,6.152213082925079e-22,0.440932,False
PDIA4,9.355667,0.3559079,8.307366873725296e-21,1.0482152590581781e-19,0.5134664,True
DNAJB11,5.880763,0.40211186,4.083790672987846e-09,3.115864987719747e-08,0.5801247,True
DDIT3,4.9248276,0.391863,8.443472162381527e-07,5.539895085538691e-06,0.56533873,True
DERL2,3.6581619,0.33110362,0.00025403063872558087,0.001364654576817709,0.47768158,False
RPN2,3.134072,0.06555627,0.0017239852131655379,0.008495542637945256,0.09457757,False
DERL3,2.4296262,1.0699444,0.015114397154865188,0.06548033815166947,1.5436033,False
EIF2S1,0.8399413,0.18496211,0.4009412807873247,0.9998735037283797,0.26684386,False
EIF2A,0.8278484,0.19023392,0.4077563778926503,0.9998735037283797,0.27444953,False
DNAJC3,0.241282,0.10403595,0.8093365648842799,0.9998735037283797,0.15009217,False
ERN2,0.08012,0.28112045,0.9361418194396492,0.9998735037283797,0.40557116,False
EDEM2,-1.2618053,-0.004535193,0.20701885805326636,0.6998102897579905,-0.0065430184,False
DERL1,-1.2667745,0.0066674817,0.20523593542349217,0.694637415784682,0.009619183,False
RPN1,-1.9246144,-0.0508783,0.05427761484432501,0.21337520480315308,-0.07340186,False
EIF2AK3,-2.587365,-0.1948096,0.009671312870981656,0.04330676656245537,-0.2810508,False
EDEM1,-3.0706367,-0.40900257,0.0021360291445228162,0.0104024997731378,-0.59006596,True
MAN1C1,-3.5905483,-0.22408839,0.00032998310209231003,0.0017531871879009964,-0.32329124,False
SEC61A1,-3.6948235,-0.090334885,0.00022003954727539484,0.0011891706016040689,-0.13032568,False
ATF6,-3.9596672,-0.07801479,7.50542496327788e-05,0.0004221657575891826,-0.11255169,False
EDEM3,-3.9800324,-0.23986118,6.890585088828358e-05,0.0003889749431688965,-0.34604663,False
SEC61A2,-4.6707487,-0.32111,3.0010366955974915e-06,1.891982228644851e-05,-0.4632639,False
ERN1,-4.6764193,-0.43925917,2.91927393176056e-06,1.8422838330332854e-05,-0.633717,True
VCP,-4.883946,-0.11704005,1.0398368262119147e-06,6.77704291565525e-06,-0.16885312,False
HYOU1,-5.029645,-0.26688918,4.913893552719673e-07,3.282346572664048e-06,-0.38503972,False
STT3B,-5.4231443,-0.16220234,5.855971193309105e-08,4.1425015906866244e-07,-0.23400852,False
ATF4,-5.506117,-0.14226393,3.668348881090537e-08,2.636535847772032e-07,-0.20524356,False
TRAF2,-5.514591,-0.82626903,3.49591809050032e-08,2.517129696001753e-07,-1.1920543,True
STT3A,-6.83545,-0.23617041,8.174779225474885e-12,7.171436757314286e-11,-0.3407219,False
MOGS,-7.4611955,-0.43640733,8.574107542511638e-14,8.268815925562748e-13,-0.62960273,True
UGGT1,-8.182738,-0.3957125,2.77464541326437e-16,2.965149493387915e-15,-0.5708924,True
UGGT2,-9.320999,-0.3886262,1.1525005035585844e-20,1.4467433547239693e-19,-0.560669,True
MAN1B1,-11.66835,-0.55117995,1.8497451525587522e-31,3.320934297161195e-30,-0.79518455,True
